time,can1_AB_Gurtschloss_Reihe2_BF [],can1_AB_Gurtschloss_FA [],can1_AB_Gurtschloss_BF [],can1_AB_Gurtschloss_Reihe2_FA [],can1_AB_Gurtschloss_Reihe2_MI []
55.611372232437134,3,3,3,2,2
55.81137490272522,3,3,3,2,2
56.011516094207764,3,3,3,2,2
56.21262502670288,3,3,3,2,2
56.41175818443298,3,3,3,2,2
56.6116361618042,3,3,3,2,2
56.811800956726074,3,3,3,2,2
57.0117461681366,3,3,3,2,2
57.212905168533325,3,3,3,2,2
57.41187310218811,3,3,3,2,2
57.612550020217896,3,3,3,2,2
57.81189799308777,3,3,3,2,2
58.01199793815613,3,3,3,2,2
58.21301317214966,3,3,3,2,2
58.412123918533325,3,3,3,2,2
58.61241412162781,3,3,3,2,2
58.81226086616516,3,3,3,2,2
59.01217699050903,3,3,3,2,2
59.21330523490906,3,3,3,2,2
59.4122838973999,3,3,3,2,2
59.61237907409668,3,3,3,2,2
59.81242823600769,3,3,3,2,2
60.01250696182251,3,3,3,2,2
60.21351099014282,3,3,3,2,2
60.41253113746643,3,3,3,2,2
60.61262798309326,3,3,3,2,2
60.81262707710266,3,3,3,2,2
61.01262283325195,3,3,3,2,2
61.213762044906616,3,3,3,2,2
61.41276025772095,3,3,3,2,2
61.612919092178345,3,3,3,2,2
61.812885999679565,3,3,3,2,2
62.01300621032715,3,3,3,2,2
62.21406126022339,3,3,3,2,2
62.413010120391846,3,3,3,2,2
62.61299991607666,3,3,3,2,2
62.81318521499634,3,3,3,2,2
63.01328206062317,3,3,3,2,2
63.214287996292114,3,3,3,2,2
63.4132559299469,3,3,3,2,2
63.61324906349182,3,3,3,2,2
63.81349420547485,3,3,3,2,2
64.01341915130615,3,3,3,2,2
64.21455121040344,3,3,3,2,2
64.413498878479,3,3,3,2,2
64.61375594139099,3,3,3,2,2
64.81363320350647,3,3,3,2,2
65.01363706588745,3,3,3,2,2
65.21478295326233,3,3,3,2,2
65.41380906105042,3,3,3,2,2
65.61491107940674,3,3,3,2,2
65.81403017044067,3,3,3,2,2
66.01388597488403,3,3,3,2,2
66.21505308151245,3,3,3,2,2
66.41387820243835,3,3,3,2,2
66.61425709724426,3,3,3,2,2
66.81417393684387,3,3,3,2,2
67.0141270160675,3,3,3,2,2
67.21518611907959,3,3,3,2,2
67.41491413116455,3,3,3,2,2
67.61462616920471,3,3,3,2,2
67.81450700759888,3,3,3,2,2
68.01430010795593,3,3,3,2,2
68.21618509292603,3,3,3,2,2
68.4148781299591,3,3,3,2,2
68.6147530078888,3,3,3,2,2
68.81454014778137,3,3,3,2,2
69.01466917991638,3,3,3,2,2
69.21565508842468,3,3,3,2,2
69.41467189788818,3,3,3,2,2
69.61580801010132,3,3,3,2,2
69.81565499305725,3,3,3,2,2
70.0159330368042,3,3,3,2,2
70.21591305732727,3,3,3,2,2
70.41500306129456,3,3,3,2,2
70.61500716209412,3,3,3,2,2
70.81500101089478,3,3,3,2,2
71.0150191783905,3,3,3,2,2
71.21616792678833,3,3,3,2,2
71.41624307632446,3,3,3,2,2
71.61525797843933,3,3,3,2,2
71.81541728973389,3,3,3,2,2
72.0153820514679,3,3,3,2,2
72.2165699005127,3,3,3,2,2
72.41637992858887,3,3,3,2,2
72.61543107032776,3,3,3,2,2
72.8155632019043,3,3,3,2,2
73.01568007469177,3,3,3,2,2
73.21663117408752,3,3,3,2,2
73.41566705703735,3,3,3,2,2
73.61664319038391,3,3,3,2,2
73.81676506996155,3,3,3,2,2
74.01579809188843,3,3,3,2,2
74.21680498123169,3,3,3,2,2
74.41592001914978,3,3,3,2,2
74.61588621139526,3,3,3,2,2
74.81707191467285,3,3,3,2,2
75.0170030593872,3,3,3,2,2
75.2170021533966,3,3,3,2,2
75.41642498970032,3,3,3,2,2
75.61725807189941,3,3,3,2,2
75.81628012657166,3,3,3,2,2
76.0162889957428,3,3,3,2,2
76.2173900604248,3,3,3,2,2
76.41743111610413,3,3,3,2,2
76.61641907691956,3,3,3,2,2
76.81739807128906,3,3,3,2,2
77.01652693748474,3,3,3,2,2
77.21838116645813,3,3,3,2,2
77.41738510131836,3,3,3,2,2
77.61739706993103,3,3,3,2,2
77.81741404533386,3,3,3,2,2
78.01737999916077,3,3,3,2,2
78.2183849811554,3,3,3,2,2
78.41742491722107,3,3,3,2,2
78.61739087104797,3,3,3,2,2
78.81739020347595,3,3,3,2,2
