time,can1_NP_LatDegree [Unit_DegreOfArc],can1_NP_LongDegree [Unit_DegreOfArc],can1_NP_Fix []
79.00454616546631,47.434819999999995,9.375480999999999,3
79.10550713539124,47.434819999999995,9.375480999999999,3
79.2055070400238,47.434819999999995,9.375480999999999,3
79.30453610420227,47.434819999999995,9.375480999999999,3
79.40476107597351,47.434819999999995,9.375480999999999,3
79.50538206100464,47.434819999999995,9.375480999999999,3
79.60550713539124,47.434819999999995,9.375480999999999,3
79.70550513267517,47.434819999999995,9.375480999999999,3
79.80551195144653,47.434819999999995,9.375480999999999,3
79.9047920703888,47.434819999999995,9.375480999999999,3
80.00453400611877,47.434723999999996,9.375399999999999,3
80.10550904273987,47.434723999999996,9.375399999999999,3
80.20469522476196,47.434723999999996,9.375399999999999,3
80.3047502040863,47.434723999999996,9.375399999999999,3
80.40588808059692,47.434723999999996,9.375399999999999,3
80.50462222099304,47.434723999999996,9.375399999999999,3
80.60588717460632,47.434723999999996,9.375399999999999,3
80.70588183403015,47.434723999999996,9.375399999999999,3
80.80467510223389,47.434723999999996,9.375399999999999,3
80.90505003929138,47.434723999999996,9.375399999999999,3
81.0056300163269,47.434628,9.375319,3
81.10493302345276,47.434628,9.375319,3
81.20489001274109,47.434628,9.375319,3
81.30562806129456,47.434628,9.375319,3
81.40463399887085,47.434628,9.375319,3
81.50487995147705,47.434628,9.375319,3
81.60563611984253,47.434628,9.375319,3
81.7048819065094,47.434628,9.375319,3
81.80463600158691,47.434628,9.375319,3
81.9057559967041,47.434628,9.375319,3
82.00462794303894,47.434532999999995,9.375238999999999,3
82.10562801361084,47.434532999999995,9.375238999999999,3
82.20488810539246,47.434532999999995,9.375238999999999,3
82.30467510223389,47.434532999999995,9.375238999999999,3
82.40563893318176,47.434532999999995,9.375238999999999,3
82.50563406944275,47.434532999999995,9.375238999999999,3
82.60563206672668,47.434532999999995,9.375238999999999,3
82.70551991462708,47.434532999999995,9.375238999999999,3
82.80563521385193,47.434532999999995,9.375238999999999,3
82.90476298332214,47.434532999999995,9.375238999999999,3
83.00463795661926,47.434438,9.375155999999999,3
83.10562992095947,47.434438,9.375155999999999,3
83.20500421524048,47.434438,9.375155999999999,3
83.30479693412781,47.434438,9.375155999999999,3
83.40576601028442,47.434438,9.375155999999999,3
83.50500726699829,47.434438,9.375155999999999,3
83.60501003265381,47.434438,9.375155999999999,3
83.7050461769104,47.434438,9.375155999999999,3
83.80488991737366,47.434438,9.375155999999999,3
83.90488505363464,47.434438,9.375155999999999,3
84.00501108169556,47.434345,9.375072,3
84.10482001304626,47.434345,9.375072,3
84.2047848701477,47.434345,9.375072,3
84.30550408363342,47.434345,9.375072,3
84.40479326248169,47.434345,9.375072,3
84.505380153656,47.434345,9.375072,3
84.605877161026,47.434345,9.375072,3
84.70527124404907,47.434345,9.375072,3
84.80488300323486,47.434345,9.375072,3
84.90500903129578,47.434345,9.375072,3
85.00492405891418,47.434250999999996,9.374991,3
85.10506105422974,47.434250999999996,9.374991,3
85.2058801651001,47.434250999999996,9.374991,3
85.30500721931458,47.434250999999996,9.374991,3
